NR,C,13|NAME,C,30|ZUSATZ,C,254|ZUSATZNR,C,11|EINHEIT,C,8|PREISA,C,10|SOPREISA,C,10|PREISB,C,10|SOPREISB,C,10|TEXT,C,254|TEXT_2,C,254|TEXT_3,C,254|TEXT_4,C,254|TEXT2,C,254|TEXT2_2,C,254|TEXT2_3,C,254|TEXT2_4,C,254|TEXT3,C,254|TEXT3_2,C,254|TEXT3_3,C,254|TEXT3_4,C,254|EAN,C,13|MHD,C,10|HALTBTAGE,C,3|GRAFIK,C,254|GRAFIK2,C,254|VKGEWICHT,C,8|KGPREISA,C,25|KGPREISB,C,25|BPTEXT1,C,254|BPTEXT1_2,C,254|BPTEXT1_3,C,254|BPTEXT1_4,C,254|BPTEXT2,C,254|BPTEXT2_2,C,254|BPTEXT2_3,C,254|BPTEXT2_4,C,254|BPTEXT3,C,254|BPTEXT3_2,C,254|BPTEXT3_3,C,254|BPTEXT3_4,C,254|BPTEXT4,C,254|BPTEXT4_2,C,254|BPTEXT4_3,C,254|BPTEXT4_4,C,254|BPTEXT5,C,254|BPTEXT5_2,C,254|BPTEXT5_3,C,254|BPTEXT5_4,C,254|BPTEXT6,C,254|BPTEXT6_2,C,254|BPTEXT6_3,C,254|BPTEXT6_4,C,254|BPTEXT7,C,254|BPTEXT7_2,C,254|BPTEXT7_3,C,254|BPTEXT7_4,C,254|BPTEXT8,C,254|BPTEXT8_2,C,254|BPTEXT8_3,C,254|BPTEXT8_4,C,254|BPTEXT9,C,254|BPTEXT9_2,C,254|BPTEXT9_3,C,254|BPTEXT9_4,C,254|BPTEXT10,C,254|BPTEXT10_2,C,254|BPTEXT10_3,C,254|BPTEXT10_4,C,254|LINKARTIK,C,30|LINKPREIS,C,10|KJ,C,10|KCAL,C,10|EIWEISS,C,10|FETT,C,10|KOHLENHYDR,C,10|GESFETTSAE,C,10|ZUCKER,C,10|BALLASTSTO,C,10|KOCHSALZ,C,10|BEINHEITEN,C,10|GRAMMBE,C,10|ALLERGENE,C,254
285|Schokoröllchen gefüllt|||Stück|1,300|0,000|1,300|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
286|Butterkuchen mit Rosinen|||Stück|1,250|0,000|1,250|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
287|Blech Butterkuchen mit Rosinen|||Stück|25,200|0,000|25,200|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
288|Bienenstich 1Bl.|||Stück|45,000|0,000|45,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
289|Butterstollen 1000g|||Stück|7,550|0,000|7,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
290|Quarkstollen|||Stück|4,750|0,000|4,750|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
291|Kipferl|||Stück|0,250|0,000|0,250|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
292|Osterhase Aktion|||Stück|1,400|0,000|1,400|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
293|*Dinkelmehl 1kg bio|||Stück|3,150|0,000|3,150|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
294|Fürst Pückler Rolle, groß|||Stück|10,300|0,000|10,300|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
294a|Fürst-Pückler-Rolle klein|||Stück|6,100|0,000|6,100|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
295|Mandarinen-Rolle|||Stück|5,450|0,000|5,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
296|Gewürzkuchen, 1 Stück|||Stück|1,150|0,000|1,150|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
297|Kürbisbrot 500g|||Stück|2,850|0,000|2,850|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
298|*Quarktasche bio|||Stück|2,000|0,000|2,000|0,000|Quark, Weizenmehl 550, Süßrahmbutter, Rohrohrzucker, Eier, Vollmilchpulver, Hefe, Maisstärke, Molkepulver, Meersalz*, Lupinenmehl, Einkornmehl, Weizengluten, Dinkelmalz, Acerolapulver, Zitronensaftkonzentrat, Zitronenöl||||Quarktasche|||||||||15.07.2020||||140 g|14,286|1,429|QUARKTASCHEN BIO (QUARK BIO, WEIZENMEHL 550 BIO, SÜßRAHMBUTTER BIO, Rohrohrzucker bio, EIER BIO, VOLLMILCHPULVER BIO, Hefe bio, Maisstärke bio, MOLKEPULVER BIO, Meersalz, LUPINENMEHL BIO, EINKORNMEHL BIO, WEIZENGLUTEN BIO, DINKELMALZ BIO, Acerolapulver b|io, Zitronensaftkonzentrat bio, Zitronenöl bio)|||Ø je 100 g:  Energie: 1234 kJ / 295 kcal  /  Fett: 16,3 g  /  davon ges. Fettsäuren: 10,6 g  /  Kohlenhydrate: 29,1 g  /  davon Zucker: 8,5 g  /  Ballaststoffe: 1,4 g  /  Eiweiß: 8,0 g  /  Salz: 0,7 g  /  Broteinheiten (BE): 2,4  /  1 BE entspricht: 41 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Gerste), Eier, Milcherzeugnisse.
 - Zutaten mit ausgewiesenen Allergenen: QUARKTASCHEN BIO"||||||||||||||||||||||||||||||||||1234|295|8,00 g|16,30 g|29,10 g|10,60 g|8,50 g|1,40 g|0,70 g|2,43|41,24 g|Gluten, Eier, Milcherzeugnisse
299|*Käselaugenstange bio|||Stück|1,950|0,000|1,950|0,000|Weizenmehl 550, Margarine, Käse, Bioreal-Hefe, Meersalz*, Natronlauge, Weizenmalzmehl, Maisstärke, Weizenprotein, Sojalecithin, Zucker, Lupinenmehl, Palmfett, Gerstenmalzmehl, Acerolapulver||||Käselaugenstange|||||||||15.07.2020||||110 g|17,727|1,773|WEIZENMEHL TYPE 550 BIO*; KÄSE GERIEBEN BIO; Wasser; Margarine bio; BACKNATUR BRÖTCHENPLUS KBA (Rohrzucker*, WEIZENGLUTEN*, WEIZENMEHL*, ROGGENMEHL*, GERSTENMALZ*, Emulgator: Sonnenblumenlecithin, WEIZENSTÄRKE*, Enzyme (Schimmelpilzamylasen, nicht GVO),|Mehlbehandlungsmittel: Ascorbinsäure); Bio-Realhefe bio; Salz|||Ø je 100 g:  Energie: 1259 kJ / 301 kcal  /  Fett: 8,2 g  /  davon ges. Fettsäuren: 4,9 g  /  Kohlenhydrate: 44,9 g  /  davon Zucker: 0,8 g  /  Ballaststoffe: 2,7 g  /  Eiweiß: 11,3 g  /  Salz: 1,5 g  /  Broteinheiten (BE): 3,7  /  1 BE entspricht: 27 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Gerste), Milcherzeugnisse.
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, BACKNATUR BRÖTCHENPLUS KBA, KÄSE GERIEBEN BIO"||||||||||||||||||||||||||||||||||1259|301|11,34 g|8,24 g|44,88 g|4,93 g|0,84 g|2,69 g|1,52 g|3,74|26,74 g|Gluten, Milcherzeugnisse
300a|*Kieler bio|||Stück|0,700|0,000|0,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
300b|Vollkornkieler halb gebacken|||Stück|0,550|0,000|0,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
300k|Kieler Vollkorn klein|||Stück|0,400|0,000|0,400|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
302|*Walnuss-Meterbrot bio|||Stück|6,400|0,000|6,400|0,000||||||||||||||15.07.2020||||1000 g|6,400|0,640|SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENSCHROT BIO; WALNUSSE BIO; Wasser; Salz||||Ø je 100 g:  Energie: 1027 kJ / 245 kcal  /  Fett: 6,6 g  /  davon ges. Fettsäuren: 0,8 g  /  Kohlenhydrate: 38,1 g  /  davon Zucker: 3,0 g  /  Ballaststoffe: 8,4 g  /  Eiweiß: 7,3 g  /  Salz: 1,6 g  /  Broteinheiten (BE): 3,2  /  1 BE entspricht: 31 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen), Schalenfrüchte (Walnüsse).
 - Zutaten mit ausgewiesenen Allergenen: SAUERTEIG ROGGENSCHROT BIO, ROGGENSCHROT BIO, WALNUSSE BIO"||||||||||||||||||||||||||||||||||1027|245|7,28 g|6,56 g|38,14 g|0,80 g|3,03 g|8,41 g|1,60 g|3,18|31,46 g|Gluten, Schalenfrüchte
304|*Kirschstrudel bio|||Stück|1,650|0,000|1,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
307|Zitronenkuchen, 1 Blech|||Stück|34,000|0,000|34,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
309|Malzbrötchen|||Stück|0,550|0,000|0,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
309a|Malzbrötchen Teiglinge|||Stück|0,450|0,000|0,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
309b| Malzbrötchen halb geb|||Stück|0,550|0,000|0,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
311|Berliner Pflaumenmus|||Stück|1,400|0,000|1,400|0,000|vorher 1,30|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
312|*Dinkel-Mandelhörnchen bio|||Stück|2,000|0,000|2,000|0,000|VK-Dinkelmehl, Süßrahmbutter, Rohrohrzucker, Mandeln, Eier, Vollmilchpulver, Maisstärke, Hefe, Lupinenmehl, Molkepulver, Meersalz*, Vanille, Acerolapulver, Ingwer|||||||||||||15.07.2020||||110 g|18,182|1,818|DINKELMANDELHÖRNCHEN BIO (VOLLKORN DINKELMEHL BIO, SÜßRAHMBUTTER BIO, Wasser, Rohrohrzucker bio, MANDELN BIO, EIER BIO, VOLLMILCHPULVER BIO, Maisstärke bio, Hefe bio, LUPINENMEHL BIO,MOLKEPULVER BIO, Meersalz, Vanille bio, Acerolapulver bio)||||Ø je 100 g:  Energie: 1425 kJ / 341 kcal  /  Fett: 18,9 g  /  davon ges. Fettsäuren: 9,9 g  /  Kohlenhydrate: 33,4 g  /  davon Zucker: 15,0 g  /  Ballaststoffe: 3,4 g  /  Eiweiß: 7,6 g  /  Salz: 0,7 g  /  Broteinheiten (BE): 2,8  /  1 BE entspricht: 36 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Dinkel), Eier, Milcherzeugnisse, Schalenfrüchte (Mandeln).
 - Zutaten mit ausgewiesenen Allergenen: DINKELMANDELHÖRNCHEN BIO"||||||||||||||||||||||||||||||||||1425|341|7,60 g|18,90 g|33,40 g|9,90 g|15,00 g|3,40 g|0,70 g|2,78|35,93 g|Gluten, Eier, Milcherzeugnisse, Schalenfrüchte
313|Viktoriakränze|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
314|Croissant einfach|||Stück|1,100|0,000|1,100|0,000|Weizenmehl, Wasser, Butter, Zucker, Hefe, pasteurisiertes Vollei, Weizengluten, Speisesalz, Vollmilchpulver, Sonnenblumenöl, Milchprotein, Emulgatoren (Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Sojalecithine), Mage|rmilchpulver, Laktose, Traubenzucker, Mehlbehandlungsmittel (Ascorbinsäure, Enzyme (Amylasen, Xylanasen, Transglutaminasen)), Pflanzenfasern (Weizen, Citrus), Säureregulator Natriumphosphate, Stabilisatoren (Carboxymethylcellulose, Xanthan), Verdickungsm|ittel Xanthan, Glukosesirup|||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
314b|Croissant einfach halb geb.|||Stück|1,100|0,000|1,100|0,000|Weizenmehl, Wasser, Butter, Zucker, Hefe, pasteurisiertes Vollei, Weizengluten, Speisesalz, Vollmilchpulver, Sonnenblumenöl, Milchprotein, Emulgatoren (Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Sojalecithine), Mage|rmilchpulver, Laktose, Traubenzucker, Mehlbehandlungsmittel (Ascorbinsäure, Enzyme (Amylasen, Xylanasen, Transglutaminasen)), Pflanzenfasern (Weizen, Citrus), Säureregulator Natriumphosphate, Stabilisatoren (Carboxymethylcellulose, Xanthan), Verdickungsm|ittel Xanthan, Glukosesirup|||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
315|Erdbeersahnetorte groß|||Stück|28,000|0,000|28,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
315a| Erdbeersahnetorte Dinkel|||Stück|40,000|0,000|40,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
316|Croissant Käse|||Stück|1,350|0,000|1,350|0,000|Weizenmehl, Wasser, Butter, Gouda (pasteurisierte Kuhmilch, Speisesalz, Käsereikulturen, mikrobielles Lab, Trennmittel Kartoffelstärke), Zucker, Hefe, pasteurisiertes Vollei, Weizengluten, Speisesalz, Vollmilchpulver, Sonnenblumenöl, Milchprotein, Emulga|toren (Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Sojalecithine), Magermilchpulver, Laktose, Traubenzucker, Mehlbehandlungsmittel (Ascorbinsäure, Enzyme (Amylasen, Xylanasen, Transglutaminasen)), Pflanzenfasern (Wei|zen, Citrus), Säureregulator Natriumphosphate, Stabilisatoren (Carboxymethylcellulose, Xanthan), Verdickungsmittel Xanthan, Glukosesirup|||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
317|Croissant Schinken|||Stück|1,350|0,000|1,350|0,000|Weizenmehl, Wasser, 12% Butter, 10% Hinterschinken (Schweinefleisch, Speisesalz, Dextrose, Glukosesirup, Zucker, Gewürz, Gewürzextrakt, Stabilisatoren: Natriumcitrat, Diphosphate, Antioxidationsmittel: Natrium-L-Ascorbat, Konservierungsstoff: Natriumnitr|it, Rauch), 4% Käse, Bechamelsaucenpulver (Modifizierte Stärke, Sahnepulver, pflanzliches Öl: Palm, Speisesalz, Magermilchpulver, Hefeextrakt, Milchzucker, Milcheiweiß, Zwiebelpulver, Gewürz, Aroma), Hefe, Mozzarella, Hartkäse, Zucker, Speisesalz, Weizen|eiweiß, Vollmilchpulver, Stärke, Weizen, Eiweißpulver, Gerstenmalzmehl, Dextrose, Verdickungsmittel: Xanthan, Mehlbehandlungsmittel: Ascorbinsäure, Amylase, Xylanase, Volleipulver, Säuerungsmittel: Zitronensäure, 10% Käsecremefüllung, Kann Spuren von Lup|inen, Schalenfrüchten, Sellerie, Senf, Sesamsamen, Soja enthalten||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
317a|Croissant Käse Schinken Wolf|||Stück|1,100|0,000|1,100|0,000|Weizenmehl, Wasser, 12% Butter, 10% Hinterschinken (Schweinefleisch, Speisesalz, Dextrose, Glukosesirup, Zucker, Gewürz, Gewürzextrakt, Stabilisatoren: Natriumcitrat, Diphosphate, Antioxidationsmittel: Natrium-L-Ascorbat, Konservierungsstoff: Natriumnitr|it, Rauch), 4% Käse, Bechamelsaucenpulver (Modifizierte Stärke, Sahnepulver, pflanzliches Öl: Palm, Speisesalz, Magermilchpulver, Hefeextrakt, Milchzucker, Milcheiweiß, Zwiebelpulver, Gewürz, Aroma), Hefe, Mozzarella, Hartkäse, Zucker, Speisesalz, Weizen|eiweiß, Vollmilchpulver, Stärke, Weizen, Eiweißpulver, Gerstenmalzmehl, Dextrose, Verdickungsmittel: Xanthan, Mehlbehandlungsmittel: Ascorbinsäure, Amylase, Xylanase, Volleipulver, Säuerungsmittel: Zitronensäure, 10% Käsecremefüllung, Kann Spuren von Lup|inen, Schalenfrüchten, Sellerie, Senf, Sesamsamen, Soja enthalten||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
317b|Croissant Schinken TK|||Stück|1,350|0,000|1,350|0,000|Weizenmehl, Wasser, 12% Butter, 10% Hinterschinken (Schweinefleisch, Speisesalz, Dextrose, Glukosesirup, Zucker, Gewürz, Gewürzextrakt, Stabilisatoren: Natriumcitrat, Diphosphate, Antioxidationsmittel: Natrium-L-Ascorbat, Konservierungsstoff: Natriumnitr|it, Rauch), 4% Käse, Bechamelsaucenpulver (Modifizierte Stärke, Sahnepulver, pflanzliches Öl: Palm, Speisesalz, Magermilchpulver, Hefeextrakt, Milchzucker, Milcheiweiß, Zwiebelpulver, Gewürz, Aroma), Hefe, Mozzarella, Hartkäse, Zucker, Speisesalz, Weizen|eiweiß, Vollmilchpulver, Stärke, Weizen, Eiweißpulver, Gerstenmalzmehl, Dextrose, Verdickungsmittel: Xanthan, Mehlbehandlungsmittel: Ascorbinsäure, Amylase, Xylanase, Volleipulver, Säuerungsmittel: Zitronensäure, 10% Käsecremefüllung, Kann Spuren von Lup|inen, Schalenfrüchten, Sellerie, Senf, Sesamsamen, Soja enthalten||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
318|Schokocroissant|||Stück|1,350|0,000|1,350|0,000|Weizenmehl, Ziehmargarine, Zucker, Schokolade, Buttermilchpulver, Salz, Hefe, Wasser|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
318a|Schokocroissant Teigling|||Stück|1,150|0,000|1,150|0,000|Weizenmehl, Ziehmargarine, Zucker, Schokolade, Buttermilchpulver, Salz, Hefe, Wasser|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
319|Weisse Schokocroissant|||Stück|1,350|0,000|1,350|0,000|Weizenmehl, Zucker, Ziehmargarine, weisse Schokolade, Buttermilchpulver, Salz, Hefe, Wasser|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
321|*Ciabattameterbrot, Bio|||Stück|5,300|0,000|5,300|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
322|Kuchen a.2,70_|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
323|Kuchen a.0,95_|||Stück|0,950|0,000|0,950|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
324|*Bärlauchmeterbrot bio|||Stück|5,700|0,000|5,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
325|Nußbeisser|||Stück|1,300|0,000|1,300|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
326|Rhababerkuchen m. Baiserhaube|||Stück|1,700|0,000|1,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
328|Transportpauschale|||Stück|7,350|0,000|7,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
329|Eistorte, klein|||Stück|15,000|0,000|15,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
330|Apfelberliner|||Stück|1,400|0,000|1,400|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
331|Berliner Marmelade|||Stück|1,400|0,000|1,400|0,000|vorher 1,30|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
332|Schweineohren|||Stück|0,950|0,000|0,950|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
333|Laugenweiss 500g|||stück|2,850|0,000|2,850|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
334|Friesentortenboden (ungefüllt)|||Stück|5,650|0,000|5,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
334a|*Friesentortenboden BIO  ungef|||Stück|9,450|0,000|9,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
335|Hefestücke|||Stück|1,150|0,000|1,150|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
336|Friesentorte,gefüllt|||Stück|19,000|0,000|19,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
337|Butterkuchen,im Streifen|||Stück|2,900|0,000|2,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
338|Friesenschnitten, Pflaumenmus|||kg|1,800|0,000|1,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
339|Pflaumenkuchen|||Stück|1,400|0,000|1,400|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
340|Cremeschnitten klein|||Stück|1,200|0,000|1,200|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
341|Hefestücke 8 aus 1Streif.|||Stück|0,800|0,000|0,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
342|Bienenstich|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
342a|Bienenstich mit weißer Creme|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
343|Knebbekuchen mit Anis|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
344|Zitronenrolle klein ungarniert|||Stück|5,550|0,000|5,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
344a| Zitronenrolle klein garniert|||Stück|8,700|0,000|8,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
345|Fruchtrolle|||Stück|5,700|0,000|5,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
345a|Fruchtrolle, groß|||Stück|10,000|0,000|10,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
346|Marzipannußrolle klein|||Stück|6,900|0,000|6,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
347|Nougatringe konv.|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
348|Mondtorte|||Stück|23,000|0,000|23,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
350|Rosinen Schnecken konv.|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
350a|Rosi-Schnecken TEIGLING|||Stück|0,800|0,000|0,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
351|Mohn Schnecken konv.|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
352|Heißewecken|||Stück|1,300|0,000|1,300|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
352b|Heißewecken - Teiglinge|||Stück|0,800|0,000|0,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
353|Butterzwieback 1Tüte|||Stück|3,000|0,000|3,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
354|Zitronenrolle groß ungarniert|||Stück|9,950|0,000|9,950|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
354a| Zitronenrolle groß garniert|||Stück|15,750|0,000|15,750|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
356|Zwieback 1Tüte|||Stück|2,250|0,000|2,250|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
357|Schwarzwälderkirschtorte|||Stück|27,000|0,000|27,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
359|Pfirsichtorte groß|||Stück|25,000|0,000|25,000|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
360|Kuchen Aktionspreis|||Stück|1,350|0,000|1,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
361|Erntedankfest Fladenbrot|||Stück|1,600|0,000|1,600|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
361a|Erntedank Fladenbrot 3kg|||Stück|6,650|0,000|6,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
362|Tortenboden dunkel|||Stück|4,900|0,000|4,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
362a|*Tortenboden, dkl., bio|||Stück|9,450|0,000|9,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
363|Nußtortenboden|||Stück|5,200|0,000|5,200|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
364|Marmorkuchen kl., Kasten|||Stück|4,450|0,000|4,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
365|Marmorkuchen gr., Kasten|||Stück|7,200|0,000|7,200|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
366|Mürbeteigtörtchen 10 St.|||Stück|3,650|0,000|3,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
367|Hartgebäck|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
369|Mutzen Mandeln 150g|||Stück|3,350|0,000|3,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
370|Krumme Jungs|||Stück|1,200|0,000|1,200|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
372|Quarkhörnchen|||Stück|0,700|0,000|0,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
373|Konditorstücke|||Stück|1,750|0,000|1,750|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
374|Baiser zum füllen 10st.|||Stück|3,550|0,000|3,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
375|Schuhsolen|||Stück|0,800|0,000|0,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
376|Gefüllte Sandtorte kl., Kasten|||Stück|11,550|0,000|11,550|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
